date,tokens_total,spend_total,token_share_open,spend_share_open,spend_per_mtok,share_gap,hhi_spend,top3_spend,hhi_tokens,top3_tokens
2024-12-30,270527850027,831630.1943345069,0.25941646151771713,0.017656899548486264,3.074101961226935,0.24175956196923087,0.893416655282241,0.9727461898125002,0.29189243525381403,0.7363720450930208
2025-01-06,476162225063,1487566.95559986,0.24318370577313106,0.014828554997191245,3.1240759499623123,0.22835515077593982,0.9024610355365776,0.9772603641217279,0.2999769100162731,0.7635285269802696
2025-01-13,492649610110,1560713.2849009165,0.22977851343620137,0.01450613483289353,3.167998619855675,0.21527237860330783,0.9056608795981215,0.9792697358145802,0.307189519810662,0.7823281391351227
2025-01-20,498028888665,1583578.7082015283,0.2388349822494127,0.021520422013374056,3.1796924721503963,0.21731456023603862,0.9004389476617468,0.9745460452257,0.3050381089191644,0.7674565305329064
2025-01-27,534368512459,1958234.6469157632,0.2351748773233381,0.0185211039045731,3.664577162124632,0.21665377341876502,0.9038202846804737,0.9794688598898702,0.36760172303952793,0.7385676086524303
2025-02-03,676330898607,2242015.7509977524,0.230933020568319,0.017138794788874576,3.3149686870960706,0.2137942257794444,0.9079966861000118,0.9807131447462513,0.3267943664357366,0.7748128696652989
2025-02-10,732660386114,2185574.0975713404,0.21348281140678863,0.0183170954674508,2.9830657409547334,0.19516571593933782,0.8918275700005339,0.9797062575228798,0.2975247938492045,0.7996937939153638
2025-02-17,816083769600,1950018.5091655774,0.16008827445132906,0.023911403521018545,2.389483263613208,0.1361768709303105,0.8292515331112353,0.9744504291492792,0.306033446369507,0.8293171974474224
2025-02-24,943494155261,2519834.603673251,0.14753395512608516,0.018919567304678173,2.6707474440858467,0.128614387821407,0.8725813607396089,0.9796542589579215,0.3259170989815211,0.8430380945253095
2025-03-03,1085582082187,2810774.7501070155,0.16021542109704764,0.02012598292883682,2.5891867563293456,0.14008943816821082,0.8760051477537992,0.9784353558531466,0.31458423908685007,0.8321962949581727
2025-03-10,1204698902789,3346566.157970271,0.1601126101073438,0.01930637471710979,2.7779274557506706,0.140806235390234,0.8947435471511858,0.9797285209281146,0.32197034324675194,0.8416064449106408
2025-03-17,1240985656848,3427343.1827743715,0.2008322952023663,0.020146666220820175,2.7617911326062683,0.18068562898154614,0.8993547733724211,0.9795093107953344,0.30972059187895645,0.8396514926059512
2025-03-24,1230965392353,3200555.3823815193,0.2495139579504292,0.02359168771970591,2.600036850965918,0.22592227023072328,0.8827467746717351,0.9753202217058243,0.26596778932093557,0.8020034629916654
2025-03-31,1472813212301,3132613.584325499,0.22382469203340413,0.02611423885689218,2.1269591813556357,0.19771045317651195,0.8317243390290822,0.9741228354960559,0.2292388559072882,0.7807866252207298
2025-04-07,1448965093957,3456028.3186390423,0.19768500418513218,0.021010591159283606,2.3851701694213516,0.17667441302584858,0.7490719454754903,0.9755956024922744,0.2460600034143445,0.8076163697989867
2025-04-14,1334838917487,3743084.471254153,0.1757736139718784,0.01726132508165596,2.8041469440379925,0.15851228889022245,0.6838515317523999,0.9763931197697564,0.279350584039813,0.8205913453251319
2025-04-21,1347952668007,3386623.5667051156,0.18784287279045994,0.01863974592901362,2.5124202407732676,0.1692031268614463,0.6510511918044037,0.9799737613778183,0.2823300864793691,0.8086471032604088
2025-04-28,1394089086289,3139133.622256219,0.1967529351428682,0.020894701895098042,2.25174535338516,0.17585823324777017,0.6558020341598452,0.9770507671748536,0.2542692758724821,0.7989510361715171
2025-05-05,1717322412004,3252613.120048207,0.1798369563305278,0.024387922471809476,1.894002603886492,0.1554490338587183,0.5798613133575948,0.9673889034483361,0.23865087492456938,0.8166111600165464
2025-05-12,1873906133269,3568675.389451924,0.13109949178640862,0.019239263015989688,1.9044045622639727,0.11186022877041893,0.5361775410214318,0.9727770460826222,0.2609113638313424,0.8631398956138725
2025-05-19,2086804394109,4508107.5975167435,0.12015692386926366,0.015471155727033632,2.160292363885674,0.10468576814223003,0.5693905445762085,0.9812103868291688,0.26403834155534883,0.8754362464029666
2025-05-26,2190031971558,5033629.819857325,0.12870584744270938,0.01632229383916436,2.29842755047835,0.11238355360354502,0.5701555551474774,0.9805087296832851,0.26499894324814366,0.8712917991217851
2025-06-02,2028974974611,4695807.448023497,0.14480007186009144,0.019325482089772146,2.3143742563526635,0.1254745897703193,0.5638093662950473,0.9802056130808886,0.2754339788465902,0.8549905996083522
2025-06-09,1521136873202,3914981.9736477924,0.15621469130572094,0.018678171402221718,2.5737210389271135,0.13753651990349922,0.5577490223011687,0.958423253001536,0.30760677308888834,0.8320453291108452
2025-06-16,1903484375651,4847542.623842869,0.14867691802104302,0.019354646124777983,2.5466679347893195,0.12932227189626505,0.5942707159892338,0.9520132271623225,0.32642403883736654,0.8453570397806247
2025-06-23,2012635373740,4545279.048203287,0.15875644563090974,0.020366468687237852,2.258371837993176,0.1383899769436719,0.5704939422041959,0.9469991298420484,0.33085676876441805,0.829879593232653
2025-06-30,1769361682637,4254737.853092986,0.1927572526797908,0.023146279939469803,2.404673897284732,0.169610972740321,0.5484124040148248,0.9399483705995769,0.29991569934310625,0.8143491393272184
2025-07-07,1944446785371,4563010.739929097,0.17789705775311315,0.02350514551963647,2.346688412487707,0.15439191223347667,0.5601253217407712,0.952658232773876,0.3297845094807033,0.8437503699346385
2025-07-14,1779365718145,4828765.791283078,0.20982950173797532,0.024469348730841695,2.713756785376924,0.18536015300713363,0.5677129708384728,0.9351150087435993,0.27807167731421983,0.8100137783516339
2025-07-21,2381760896583,6831746.552777212,0.20999768392182527,0.021540706809464006,2.8683595244923183,0.18845697711236126,0.6140015877131022,0.9490917950659195,0.26360446865770576,0.7856912231453237
2025-07-28,2552139020012,7203869.193902007,0.24734551924606044,0.02467172550732429,2.822678991001099,0.22267379373873614,0.6477328650403426,0.9520252690088626,0.24970508010877235,0.7510086833361405
2025-08-04,2605314370672,6973792.976662964,0.32196103337795745,0.0289305719097876,2.676756807227138,0.29303046146816986,0.6124644836910441,0.9414089520711143,0.20126265172200875,0.6904416397081566
2025-08-11,2536466211500,6776051.85401111,0.29467958680040157,0.0321651472881081,2.671453624451764,0.2625144395122935,0.6138798338124685,0.9514623524058994,0.21029545043672582,0.7201014266816698
2025-08-18,2612358151652,6788096.959235379,0.3110828795806927,0.03421061063130136,2.598455711343688,0.2768722689493913,0.5449666715690308,0.9053420878986087,0.1953805853397397,0.6878995678806866
